episode,training_return,training_steps,epsilon,eval_mean_return,eval_mean_steps,eval_success_rate
310,50.0,10,0.21248679717794605,,,
311,45.0,15,0.21142436319205632,,,
312,50.0,10,0.21036724137609603,,,
313,38.0,14,0.20931540516921554,,,
314,44.0,12,0.20826882814336947,,,
315,40.0,10,0.20722748400265262,,,
316,50.0,10,0.20619134658263935,,,
317,45.0,11,0.20516038984972615,,,
318,49.0,11,0.2041345879004775,,,
319,50.0,10,0.2031139149609751,,,
320,50.0,10,0.20209834538617025,,,
321,49.0,11,0.2010878536592394,,,
322,50.0,10,0.2000824143909432,,,
323,48.0,12,0.19908200231898848,,,
324,45.0,11,0.19808659230739353,,,
325,38.0,12,0.19709615934585656,,,
326,35.0,17,0.19611067854912728,,,
327,49.0,11,0.19513012515638165,,,
328,48.0,12,0.19415447453059972,,,
329,50.0,10,0.19318370215794672,,,
330,40.0,16,0.192217783647157,,,
331,38.0,12,0.1912566947289212,,,
332,42.0,18,0.1903004112552766,,,
333,45.0,11,0.18934890919900021,,,
334,39.0,17,0.18840216465300522,,,
335,26.0,16,0.18746015382974018,,,
336,45.0,11,0.1865228530605915,,,
337,45.0,11,0.18559023879528855,,,
338,48.0,12,0.1846622876013121,,,
339,49.0,11,0.18373897616330553,,,
340,45.0,11,0.182820281282489,,,
341,31.0,17,0.18190617987607657,,,
342,47.0,13,0.18099664897669618,,,
343,35.0,17,0.1800916657318127,,,
344,43.0,13,0.17919120740315364,,,
345,49.0,11,0.17829525136613786,,,
346,50.0,10,0.17740377510930716,,,
347,41.0,15,0.17651675623376062,,,
348,50.0,10,0.1756341724525918,,,
349,44.0,12,0.17475600159032884,,,
350,46.0,10,0.17388222158237718,50.0,10.0,1.0
351,48.0,12,0.1730128104744653,,,
352,45.0,11,0.17214774642209296,,,
353,41.0,15,0.1712870076899825,,,
354,50.0,10,0.17043057265153258,,,
355,50.0,10,0.16957841978827493,,,
356,46.0,14,0.16873052768933355,,,
357,50.0,10,0.1678868750508869,,,
358,45.0,11,0.16704744067563246,,,
359,48.0,12,0.1662122034722543,,,
360,45.0,11,0.16538114245489302,,,
361,50.0,10,0.16455423674261854,,,
362,50.0,10,0.16373146555890544,,,
363,24.0,18,0.16291280823111093,,,
364,48.0,12,0.16209824418995536,,,
365,46.0,14,0.16128775296900558,,,
366,50.0,10,0.16048131420416054,,,
367,43.0,13,0.15967890763313974,,,
368,49.0,11,0.15888051309497406,,,
369,50.0,10,0.1580861105294992,,,
370,48.0,12,0.1572956799768517,,,
371,49.0,11,0.15650920157696743,,,
372,48.0,12,0.1557266555690826,,,
373,45.0,11,0.1549480222912372,,,
374,45.0,11,0.15417328217978102,,,
375,46.0,14,0.1534024157688821,,,
376,50.0,10,0.1526354036900377,,,
377,42.0,14,0.1518722266715875,,,
378,50.0,10,0.15111286553822956,,,
379,47.0,13,0.15035730121053842,,,
380,45.0,11,0.14960551470448571,,,
381,50.0,10,0.14885748713096328,,,
382,50.0,10,0.14811319969530845,,,
383,50.0,10,0.1473726336968319,,,
384,43.0,13,0.14663577052834775,,,
385,35.0,13,0.14590259167570602,,,
386,50.0,10,0.1451730787173275,,,
387,50.0,10,0.14444721332374086,,,
388,50.0,10,0.14372497725712216,,,
389,50.0,10,0.14300635237083656,,,
390,45.0,11,0.14229132060898236,,,
391,50.0,10,0.14157986400593744,,,
392,35.0,21,0.14087196468590776,,,
393,48.0,12,0.14016760486247823,,,
394,50.0,10,0.13946676683816583,,,
395,44.0,16,0.138769433003975,,,
396,46.0,14,0.13807558583895513,,,
397,50.0,10,0.13738520790976036,,,
398,47.0,13,0.13669828187021155,,,
399,45.0,11,0.13601479046086049,,,
400,44.0,10,0.1353347165085562,50.0,10.0,1.0
401,49.0,11,0.1346580429260134,,,
402,45.0,11,0.13398475271138335,,,
403,50.0,10,0.13331482894782642,,,
404,50.0,10,0.13264825480308728,,,
405,50.0,10,0.13198501352907185,,,
406,49.0,11,0.1313250884614265,,,
407,50.0,10,0.13066846301911936,,,
408,43.0,13,0.13001512070402377,,,
409,46.0,14,0.12936504510050365,,,
410,44.0,12,0.12871821987500112,,,
411,45.0,11,0.12807462877562611,,,
412,50.0,10,0.12743425563174798,,,
413,40.0,10,0.12679708435358925,,,
414,50.0,10,0.1261630989318213,,,
415,50.0,10,0.1255322834371622,,,
416,50.0,10,0.12490462201997637,,,
417,50.0,10,0.1242800989098765,,,
418,40.0,12,0.12365869841532712,,,
419,50.0,10,0.12304040492325048,,,
420,50.0,10,0.12242520289863423,,,
421,50.0,10,0.12181307688414106,,,
422,43.0,13,0.12120401149972035,,,
423,48.0,12,0.12059799144222175,,,
424,42.0,14,0.11999500148501063,,,
425,48.0,12,0.11939502647758558,,,
426,45.0,11,0.11879805134519765,,,
427,48.0,12,0.11820406108847166,,,
428,50.0,10,0.1176130407830293,,,
429,50.0,10,0.11702497557911415,,,
430,50.0,10,0.11643985070121858,,,
431,48.0,12,0.11585765144771248,,,
432,45.0,15,0.11527836319047392,,,
433,44.0,12,0.11470197137452155,,,
434,49.0,11,0.11412846151764894,,,
435,50.0,10,0.1135578192100607,,,
436,48.0,12,0.11299003011401039,,,
437,50.0,10,0.11242507996344034,,,
438,49.0,11,0.11186295456362313,,,
439,48.0,12,0.11130363979080501,,,
440,50.0,10,0.11074712159185099,,,
441,50.0,10,0.11019338598389174,,,
442,49.0,11,0.10964241905397228,,,
443,49.0,11,0.10909420695870241,,,
444,43.0,13,0.1085487359239089,,,
445,46.0,14,0.10800599224428936,,,
446,49.0,11,0.10746596228306791,,,
447,50.0,10,0.10692863247165257,,,
448,50.0,10,0.1063939893092943,,,
449,49.0,11,0.10586201936274783,,,
450,50.0,10,0.10533270926593409,50.0,10.0,1.0
451,48.0,12,0.10480604571960442,,,
452,49.0,11,0.1042820154910064,,,
453,46.0,14,0.10376060541355137,,,
454,48.0,12,0.1032418023864836,,,
455,50.0,10,0.10272559337455119,,,
456,46.0,14,0.10221196540767843,,,
457,50.0,10,0.10170090558064004,,,
458,45.0,11,0.10119240105273684,,,
459,33.0,13,0.10068643904747315,,,
460,50.0,10,0.10018300685223579,,,
461,50.0,10,0.0996820918179746,,,
462,50.0,10,0.09918368135888474,,,
463,50.0,10,0.09868776295209031,,,
464,47.0,13,0.09819432413732986,,,
465,43.0,13,0.09770335251664321,,,
466,50.0,10,0.09721483575406,,,
467,50.0,10,0.09672876157528969,,,
468,50.0,10,0.09624511776741324,,,
469,48.0,12,0.09576389217857617,,,
470,50.0,10,0.09528507271768329,,,
471,50.0,10,0.09480864735409487,,,
472,48.0,12,0.0943346041173244,,,
473,45.0,11,0.09386293109673778,,,
474,50.0,10,0.09339361644125409,,,
475,45.0,15,0.09292664835904782,,,
476,45.0,11,0.09246201511725258,,,
477,50.0,10,0.09199970504166631,,,
478,50.0,10,0.09153970651645797,,,
479,45.0,11,0.09108200798387568,,,
480,50.0,10,0.0906265979439563,,,
481,44.0,12,0.09017346495423652,,,
482,50.0,10,0.08972259762946533,,,
483,50.0,10,0.089273984641318,,,
484,50.0,10,0.0888276147181114,,,
485,50.0,10,0.08838347664452084,,,
486,50.0,10,0.08794155926129824,,,
487,49.0,11,0.08750185146499175,,,
488,45.0,11,0.08706434220766679,,,
489,46.0,14,0.08662902049662846,,,
490,50.0,10,0.08619587539414532,,,
491,50.0,10,0.08576489601717459,,,
492,50.0,10,0.08533607153708872,,,
493,45.0,11,0.08490939117940327,,,
494,49.0,11,0.08448484422350626,,,
495,50.0,10,0.08406242000238873,,,
496,50.0,10,0.08364210790237678,,,
497,47.0,13,0.0832238973628649,,,
498,50.0,10,0.08280777787605056,,,
499,50.0,10,0.08239373898667031,,,
500,50.0,10,0.08198177029173696,50.0,10.0,1.0
501,48.0,12,0.08157186144027828,,,
502,45.0,11,0.0811640021330769,,,
503,50.0,10,0.08075818212241151,,,
504,50.0,10,0.08035439121179945,,,
505,49.0,11,0.07995261925574046,,,
506,50.0,10,0.07955285615946175,,,
507,50.0,10,0.07915509187866444,,,
508,50.0,10,0.07875931641927113,,,
509,50.0,10,0.07836551983717477,,,
510,50.0,10,0.07797369223798889,,,
511,50.0,10,0.07758382377679894,,,
512,50.0,10,0.07719590465791494,,,
513,50.0,10,0.07680992513462537,,,
514,45.0,11,0.07642587550895225,,,
515,50.0,10,0.07604374613140748,,,
516,45.0,11,0.07566352740075044,,,
517,49.0,11,0.07528520976374668,,,
518,50.0,10,0.07490878371492794,,,
519,49.0,11,0.0745342397963533,,,
520,50.0,10,0.07416156859737154,,,
521,50.0,10,0.07379076075438468,,,
522,50.0,10,0.07342180695061275,,,
523,45.0,11,0.07305469791585968,,,
524,40.0,10,0.07268942442628039,,,
525,46.0,14,0.07232597730414898,,,
526,50.0,10,0.07196434741762824,,,
527,50.0,10,0.0716045256805401,,,
528,50.0,10,0.0712465030521374,,,
529,50.0,10,0.0708902705368767,,,
530,50.0,10,0.07053581918419231,,,
531,49.0,11,0.07018314008827135,,,
532,50.0,10,0.06983222438783,,,
533,50.0,10,0.06948306326589085,,,
534,48.0,12,0.0691356479495614,,,
535,50.0,10,0.06878996970981359,,,
536,48.0,12,0.06844601986126451,,,
537,50.0,10,0.06810378976195819,,,
538,50.0,10,0.0677632708131484,,,
539,50.0,10,0.06742445445908266,,,
540,50.0,10,0.06708733218678724,,,
541,50.0,10,0.0667518955258533,,,
542,50.0,10,0.06641813604822402,,,
543,50.0,10,0.0660860453679829,,,
544,50.0,10,0.06575561514114299,,,
545,46.0,14,0.06542683706543727,,,
546,45.0,11,0.06509970288011008,,,
547,50.0,10,0.06477420436570952,,,
548,50.0,10,0.06445033334388098,,,
549,50.0,10,0.06412808167716157,,,
550,50.0,10,0.06380744126877576,50.0,10.0,1.0
551,44.0,12,0.06348840406243188,,,
552,40.0,12,0.06317096204211972,,,
553,50.0,10,0.06285510723190912,,,
554,44.0,12,0.06254083169574957,,,
555,48.0,12,0.062228127537270826,,,
556,50.0,10,0.06191698689958447,,,
557,50.0,10,0.061607401965086545,,,
558,49.0,11,0.06129936495526111,,,
559,50.0,10,0.0609928681304848,,,
560,47.0,13,0.060687903789832374,,,
561,50.0,10,0.06038446427088321,,,
562,50.0,10,0.06008254194952879,,,
563,50.0,10,0.05978212923978115,,,
564,50.0,10,0.05948321859358224,,,
565,50.0,10,0.05918580250061433,,,
566,50.0,10,0.058889873488111255,,,
567,50.0,10,0.058595424120670696,,,
568,50.0,10,0.05830244700006734,,,
569,49.0,11,0.058010934765067,,,
570,50.0,10,0.05772088009124167,,,
571,50.0,10,0.05743227569078546,,,
572,50.0,10,0.05714511431233153,,,
573,49.0,11,0.05685938874076987,,,
574,50.0,10,0.056575091797066025,,,
575,50.0,10,0.056292216338080694,,,
576,50.0,10,0.05601075525639029,,,
577,50.0,10,0.05573070148010834,,,
578,49.0,11,0.0554520479727078,,,
579,50.0,10,0.05517478773284426,,,
580,47.0,13,0.05489891379418004,,,
581,50.0,10,0.05462441922520914,,,
582,50.0,10,0.0543512971290831,,,
583,50.0,10,0.05407954064343768,,,
584,43.0,13,0.05380914294022049,,,
585,50.0,10,0.05354009722551939,,,
586,45.0,11,0.05327239673939179,,,
587,50.0,10,0.053006034755694834,,,
588,50.0,10,0.052741004581916356,,,
589,50.0,10,0.052477299559006776,,,
590,50.0,10,0.052214913061211746,,,
591,45.0,11,0.05195383849590569,,,
592,50.0,10,0.05169406930342616,,,
593,50.0,10,0.05143559895690903,,,
594,50.0,10,0.051178420962124486,,,
595,50.0,10,0.05092252885731386,,,
596,50.0,10,0.05066791621302729,,,
597,50.0,10,0.05041457663196215,,,
598,45.0,11,0.050162503748802344,,,
599,50.0,10,0.05,,,
600,50.0,10,0.05,50.0,10.0,1.0
601,50.0,10,0.05,,,
602,49.0,11,0.05,,,
603,50.0,10,0.05,,,
604,50.0,10,0.05,,,
605,50.0,10,0.05,,,
606,50.0,10,0.05,,,
607,50.0,10,0.05,,,
608,50.0,10,0.05,,,
609,49.0,11,0.05,,,
610,48.0,12,0.05,,,
611,50.0,10,0.05,,,
612,50.0,10,0.05,,,
613,45.0,11,0.05,,,
614,49.0,11,0.05,,,
615,49.0,11,0.05,,,
616,50.0,10,0.05,,,
617,50.0,10,0.05,,,
618,50.0,10,0.05,,,
619,50.0,10,0.05,,,
620,48.0,12,0.05,,,
621,50.0,10,0.05,,,
622,45.0,11,0.05,,,
623,45.0,11,0.05,,,
624,50.0,10,0.05,,,
625,48.0,12,0.05,,,
626,48.0,12,0.05,,,
627,50.0,10,0.05,,,
628,50.0,10,0.05,,,
629,50.0,10,0.05,,,
630,50.0,10,0.05,,,
631,36.0,14,0.05,,,
632,50.0,10,0.05,,,
633,48.0,12,0.05,,,
634,50.0,10,0.05,,,
635,48.0,12,0.05,,,
636,50.0,10,0.05,,,
637,45.0,11,0.05,,,
638,50.0,10,0.05,,,
639,50.0,10,0.05,,,
640,50.0,10,0.05,,,
641,50.0,10,0.05,,,
642,50.0,10,0.05,,,
643,50.0,10,0.05,,,
644,50.0,10,0.05,,,
645,48.0,12,0.05,,,
646,50.0,10,0.05,,,
647,50.0,10,0.05,,,
648,50.0,10,0.05,,,
649,45.0,11,0.05,,,
650,50.0,10,0.05,50.0,10.0,1.0
651,45.0,11,0.05,,,
652,50.0,10,0.05,,,
653,50.0,10,0.05,,,
654,49.0,11,0.05,,,
655,50.0,10,0.05,,,
656,50.0,10,0.05,,,
657,50.0,10,0.05,,,
658,50.0,10,0.05,,,
659,50.0,10,0.05,,,
660,50.0,10,0.05,,,
661,50.0,10,0.05,,,
662,48.0,12,0.05,,,
663,48.0,12,0.05,,,
664,50.0,10,0.05,,,
665,50.0,10,0.05,,,
666,50.0,10,0.05,,,
667,50.0,10,0.05,,,
668,50.0,10,0.05,,,
669,48.0,12,0.05,,,
670,48.0,12,0.05,,,
671,50.0,10,0.05,,,
672,48.0,12,0.05,,,
673,50.0,10,0.05,,,
674,50.0,10,0.05,,,
675,48.0,12,0.05,,,
676,45.0,11,0.05,,,
677,50.0,10,0.05,,,
678,50.0,10,0.05,,,
679,50.0,10,0.05,,,
680,50.0,10,0.05,,,
681,50.0,10,0.05,,,
682,50.0,10,0.05,,,
683,48.0,12,0.05,,,
684,48.0,12,0.05,,,
685,50.0,10,0.05,,,
686,50.0,10,0.05,,,
